"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"8600000US60202","ZCTA5 60202","32861","950","21148","942","6885","816","2","14","1937","454","0","23","1496","627","1393","354","177","102","1216","358",
"8600000US60203","ZCTA5 60203","4188","429","3006","283","531","339","43","46","424","151","0","11","63","60","121","64","10","15","111","65",
"8600000US60301","ZCTA5 60301","2536","321","1473","298","617","200","0","11","301","155","0","11","56","79","89","67","0","11","89","67",
"8600000US60302","ZCTA5 60302","32048","534","21891","817","6263","638","21","23","1596","305","40","47","708","385","1529","267","109","62","1420","266",
"8600000US60304","ZCTA5 60304","17641","463","12703","522","2669","371","33","48","749","273","23","35","420","290","1044","211","77","59","967","228",
"8600000US60305","ZCTA5 60305","11064","24","9377","410","707","226","0","17","520","277","0","17","206","133","254","140","32","37","222","138",
"8600000US60402","ZCTA5 60402","63554","197","36347","1581","3832","674","221","128","2094","522","0","26","19204","1512","1856","595","758","355","1098","387",
"8600000US60406","ZCTA5 60406","25256","881","12185","1375","6856","809","321","219","100","84","0","20","5021","1006","773","467","129","160","644","427",
"8600000US60409","ZCTA5 60409","36955","75","8303","1009","27525","1062","150","160","20","23","0","23","557","205","400","230","39","50","361","230",
"8600000US60411","ZCTA5 60411","57800","437","17304","1276","29502","1241","21","24","204","117","0","26","9277","1070","1492","434","472","242","1020","319",
"8600000US60415","ZCTA5 60415","14254","51","11573","685","1693","619","0","17","452","256","7","18","327","221","202","218","12","104","190","188",
"8600000US60419","ZCTA5 60419","22644","104","1235","234","20722","292","10","15","120","98","0","20","29","32","528","229","88","73","440","224",
"8600000US60422","ZCTA5 60422","9768","462","3741","534","5836","620","16","27","93","82","13","24","30","31","39","42","0","15","39","42",
"8600000US60423","ZCTA5 60423","30938","516","27746","728","1582","355","51","58","877","391","0","23","359","211","323","155","103","72","220","132",
"8600000US60425","ZCTA5 60425","8912","195","2077","258","6220","329","101","123","34","41","0","15","177","131","303","162","34","32","269","159",
"8600000US60426","ZCTA5 60426","28924","743","4962","940","20954","1052","21","26","465","246","0","20","1949","678","573","344","192","166","381","245",
"8600000US60428","ZCTA5 60428","12271","208","1831","393","9790","423","12","19","99","106","0","17","420","282","119","80","21","34","98","72",
"8600000US60429","ZCTA5 60429","15387","592","2249","384","12961","698","50","54","27","24","0","17","51","98","49","46","0","17","49","46",
"8600000US60430","ZCTA5 60430","20227","607","10188","565","8634","678","0","20","412","278","0","20","508","291","485","200","15","22","470","198",
